claim_id,section,claim,previous_value,current_value,current_status,statistical_unit,null_model,matched_variables,universe_or_denominator,random_seed_policy,script,why_changed,interpretation_now
C1-topN,@sec-magnitude,"Naive top-20 rejected by the gate, vs a magnitude-matched 20","18/20 vs 15.3 matched, P = 0.104","14/20 vs 4.6 matched, P = 2.0e-4 (the 1/5001 floor; no matched shortlist reached it)",current,perturbation (n = 20 shortlist),"5,000 shortlists of 20 drawn from the evidence-passing pool",z_L2 (panel-wide effect magnitude),"6,371 rankable perturbations; 20-gene shortlist","5,000 draws; result stable across seeds",scripts/14_reversal_specificity.py,"N6b demoted the selectivity axis, so 'any axis' rejection is now the co-inhibitory axis alone. The old 18/20 bought only 2.7 rejections over effect size (P = 0.104) and is retracted as evidence about reversal.","Descriptive headline. The gate's rejections are specific to the co-inhibitory axis, not to effect magnitude."
C2-selectivity,@sec-magnitude,"Context-selectivity axis, rejection specificity",a gate axis doing most of the rejecting,"14/20 vs 14.2 matched, P = 0.65",demoted,perturbation (n = 20),magnitude-matched shortlists,z_L2,20-gene shortlist,"5,000 draws",scripts/18_n6_selectivity_validation.py,"It carries no information beyond effect magnitude, and lost to a one-variable shadow of itself. Demoted from gate axis to annotation.",Annotation only. It may never be quoted as a safety axis.
C3-vanElteren,Methods,Pre-registered primary endpoint: co-inhibitory suppression vs a stratified background,"(unchanged) van Elteren z = +11.099, p = 6.3e-29","van Elteren z = +11.099, p = 6.3e-29",demoted,"perturbation (all control rows, z_L2-stratified)",van Elteren over every control row; no resampling,z_L2 decile (primary); n_cells_target (sensitivity),"6,371 rankable perturbations",none; the test draws no random numbers,scripts/02_risk_kill_reversal.py,"Still a valid perturbation-level association. But the module is one fixed nine-gene set, so this is NOT a module-level inference and must not be read as one. C5 is the module-level number.",Perturbation-level association only. Not the final inference.
C4-perturbMWU,@sec-induction,Per-perturbation Mann-Whitney on the co-inhibitory module,p = 3.5e-13 (scripts/10) and p = 5.6e-11 (scripts/17),RETRACTED. Never quote.,retracted,"claimed 6,371 z-values; TRUE effective unit is 1 module","Mann-Whitney across perturbations, treating z-values as independent",none,"6,371 z-values (wrong denominator)",n/a,scripts/10_tolerance_is_real.py; scripts/17_tolerance_is_special.py,"The module is one fixed nine-gene set. If it covaries with efficacy, every top-100 z shifts together, so the effective n is 1 module, not 100 perturbations. Its own negative control fired at a 15% false-positive rate on random modules, against a registered ~5%.",Anticonservative by orders of magnitude. The statistic is fine; the p-value is void.
C5-moduleNull,@sec-induction,The co-inhibitory module survives a matched module-level null,p = 0.004975 (expression- and induction-matched nulls),"p = 0.0196, which is the FLOOR 1/51 of a 50-module null: the observed module exceeded every one",current,module (n = 1 real module vs 200 nulls),"200 random nine-gene modules; perturbation set held FIXED at the top 100 by efficacy, so activation amplitude is constant by construction","expression, induction (Arce Stim-vs-Rest); then co-regulation",344 screen-measured Arce genes at or above the module's induction median,"200 modules, seed fixed; module-level permutation",scripts/17_tolerance_is_special.py,"An external audit asked for a co-expression-matched null. The module's mean gene-gene correlation (0.1046) exceeds all 200 nulls (max 0.0867), and co-regulation predicts the statistic (rho = +0.206, p = 0.0035). Restricting the null pool to the co-regulated quartile ATTENUATES the evidence: the p-value increases to 0.0196. We report the weaker number.","The main defensible module-level inference. Attenuated, not refuted. Co-regulation remains a partially open confound."
C6-negControl,@sec-induction,Negative control: false-positive rate on random modules,"registered ~5%; observed 25% (per-perturbation), 15% (rerun)",4.5% at the module level,current,module,random nine-gene modules,"expression, induction",20 random modules (registration); 200 (final),fixed seed,scripts/17_tolerance_is_special.py,"THE CONTROL FIRED ON THE FIRST RUN AND IT WAS RIGHT. The registered criterion required ~5%; the per-perturbation test gave 25%. Worse, the script's coded gate was looser than the criterion registered and returned PASS on a control that had failed. Recorded as an addendum, not fixed quietly.",Nominal at the module level. This failure is why C4 is retracted.
C7-seedLottery,Methods,Matched-background inference for the naive-ranking enrichment,significant under seed 0 (a single 100-row draw),RETRACTED as a method. 22.4% of seeds were non-significant.,retracted,perturbation,one sampled 100-row matched background (bad); now CMH / van Elteren over every control row,"was n_cells_target (wrong: it is a viability readout, and Spearman(n_cells_target, stim_de_genes) = -0.243, so it matched the confound backwards). Now z_L2.","discarded 6,171 of 6,271 controls","the p-value was a random variable; 2,000 redraws reproduced in-repo",scripts/02_risk_kill_reversal.py::seed_lottery,Sampling a background made the p-value a lottery. Replaced with a test that uses every control row and draws no random numbers.,Superseded. The 22.4% is itself a reported finding.
C8-benchmark,@sec-ceiling,Open Targets drug-recovery benchmark: is it powered?,173 immune drug targets = 'POWERED',"38 primary, 53 upper bound, against a threshold of 60 fixed before counting",retracted,gene,n/a (a counting exercise),n/a,"Open Targets 26.06, pinned; 6,371 rankable perturbations",none,scripts/16_open_targets_benchmark.py,"Three inflation traps, all hit on the first run: MONDO files blood cancers under 'immune system disorder'; mechanism-of-action rows name whole complexes (metformin annotates all 40 subunits of complex I); and maxClinicalStage is the max across ALL indications. A validate() harness with 5 positive and 4 negative controls withheld the verdict until they passed.","Benchmark RETIRED as a headline. The ceiling is a property of the perturbation library, not of our ranking."
C9-recovery,@sec-drugs,The efficacy axis recovers assay-visible approved-drug targets,(new in N14),"4 of 20 pass the evidence floor vs 0.83 expected, permutation p = 0.0081",current,gene (n = 20 assay-visible curated positives),"50,000-draw permutation against the screened-gene background",none; the background is the screened universe,"36 curated positives; 20 assay-visible; 6,371 screened","seed 0, 50,000 permutations",scripts/23_recovery_pvalue.py,"Recovery must be stated on the ASSAY-VISIBLE denominator. 15 of the 20 are invisible by construction (TCR-only stimulation), not screen failures.","Sanity check that the efficacy axis is sensible, out of sample. NOT a headline: the benchmark is retired."
C10-safetyAdds,@sec-drugs,Do the safety axes add recovery beyond the efficacy floor?,(implied yes by the gate's framing),"No. 3 observed vs 3.00 expected, p = 0.74",current,gene (n = 20),"permutation, conditioned on passing the evidence floor",evidence-floor passage,20 assay-visible curated positives,seed 0,scripts/23_recovery_pvalue.py,"Nothing changed; it was always this. It is reported because it is the honest decomposition: recovery is driven by efficacy, not by safety.",Exactly right. A safety axis SHOULD NOT enrich for drug targets.
C11-auroc,@sec-drugs,Ranking discrimination on the curated positives,(none),"AUROC 0.542, 95% CI [0.373, 0.707]",current,gene (n = 20),AUROC = 0.5,none,20 rankable curated positives,bootstrap CI,scripts/16_open_targets_benchmark.py,n/a,"NEGATIVE. The CI spans chance. Do not claim ranking discrimination on drug targets. Efficacy is validated on Schmidt instead (AUROC 0.702 [0.591, 0.814], held out)."
C12-n20rule,@sec-nomination,"The N16 nomination rule, applied to the positive class it recovered",rule shipped unexamined; returned 1 gene from 206,re-nominates 2 of 5; the rule returns 1 novel gene from 190 candidates,descriptive,gene (n = 6 recovered approved-drug targets),binomial against a pre-registered 5/6 sensitivity floor,none,6 recovered positives; 206 non-known non-discordant candidates,none (exact),scripts/29_nomination_recalibration.py,"The proportion is UNDER-POWERED at n = 6 and its CI still contains the floor, so it does NOT by itself reject the rule. The rule is rejected because it returns 1 gene from 206, and because the misses are a deterministic database-coverage property: 'supported' deletes CD3E, IMPDH2 and PPP3R1 at an autoimmune genetic score of exactly 0.000.","Descriptive. The rejection rests on the deterministic mechanism, not on this proportion."
C13-n20recovery,@sec-nomination,Does the rebuilt nomination gate preserve drug recovery?,"observed 4, expected 0.30, p = 0.00016 (drawn from all 6,371)","observed 3, expected 1.37, p = 0.092 against a power ceiling of 0.095. THE CONTROL FAILS.",retracted,gene,"50,000-draw permutation, HOLDING THE SCREEN GATE FIXED (draw 90 of 197)",screen-gate passage,214 screen-passing genes; 4 curated positives among them,seed 0,scripts/29_nomination_recalibration.py,"Drawing from all 6,371 re-counted the screen-gate enrichment that N13 and N14 already established, inflating the p-value by two orders of magnitude. Caught by an external audit.","Sanity check only, and FRAGILE: only 4 curated positives sit in the screen-passing set, so a gate retaining all four cannot beat p = 0.039. The test is at its own power ceiling."
C14-precedentLeak,@sec-nomination,Tractability as a nomination criterion,"tractable = pocket | family | surface | clinical_precedent (committed, then reverted)","tractable = pocket | family | surface. Precedent is reported, never gated on.",retracted,gene,n/a,n/a,32 of 36 curated positives carry clinical_precedent,none,src/cd4_perturbseq/priors.py::ot_tractability,"Adding clinical_precedent looked like an obvious bug fix. It makes the drug-recovery validation CIRCULAR, because it is true for 32 of the 36 curated positives. It was committed and then reverted, one commit after the same characterisation bias was diagnosed for direction of effect.","A leak, caught in-repo. An anti-leakage test now enforces it."
C15-direction,@sec-nomination,Direction of effect as a nomination criterion,'direction is a collider; it can only demote',"Direction evidence is a VETO, not a promotion rule. All 15 concordant verdicts require an approved LoF-mimicking drug; the 2 discordant come from a manually curated list. 180 of 197 have no annotation.",current,gene,"n/a (a structural property of the annotation, not a measured bias)",n/a,214 screen-passing genes; 23 direction-adjudicable,none,scripts/21_direction_of_effect.py; scripts/29_nomination_recalibration.py,"'Collider' is the wrong word: a collider needs two parents. This is a deterministic proxy for prior characterisation with missingness not at random. And DISCORDANCE is equally characterisation-bound, so absence of discordance is not favourable evidence.",Absence of direction discordance is NOT favourable evidence. Three attempts to escape the bias failed for three different principled reasons: expression is not activity (eQTL); haematology is not autoimmunity (IMPC); a full knockout is not a partial inhibitor (MGI).
C17-freimerEfficacy,@sec-freimer,"The efficacy axis replicates on an independent, signed, primary-human-CD4 screen",(new in N21; no prior external replication of this axis except Schmidt),Spearman +0.115; p = 0.020 stratified on resting-arm disruption; p = 0.020 stratified on z_L2 and resting-arm disruption jointly,current,gene (n = 471 co-tested),"2,000-draw permutation, shuffled within strata; four stratifiers tried",z_L2; rest_de_genes; stim_de_genes; z_L2 and rest_de_genes jointly,471 genes co-tested in our screen and Freimer's IL2 arm,"seed 0, 2,000 draws per stratifier",scripts/33_freimer_functional_overlay.py,"Freimer's IL-2-lowering hits carry a median 66 resting-arm DE genes against 3 for non-hits, so the association could have been shared collateral damage. Stratifying the null on resting-arm disruption directly does not destroy it. It replicates under all four nulls.","Independent lab, different platform, protein readout, different library. The strongest external validation in this project, and it is of the EFFICACY axis, not the co-inhibitory one."
C18-freimerHitConfound,@sec-freimer,Freimer's thresholded IL-2 hit calls are confounded by global disruption,(new in N21),"29 IL-2-lowering hits carry a median 66 resting-arm DE genes vs 3 for the 442 non-hits, Mann-Whitney p = 9.8e-7",current,gene,"Mann-Whitney, hits vs non-hits","none; this IS the confound, measured directly",471 co-tested genes,none,scripts/34_freimer_secondary_posthoc.py,n/a. Measured when the relaxed rule returned two chromatin/stress genes.,"A Freimer IL-2 hit call is substantially a 'this cell can no longer transcribe an induced gene' signal. The CONTINUOUS axis (C17) survives the confound; the THRESHOLDED hit call does not, and promotion uses the hit call. So Freimer supports the efficacy axis, not target promotion."
C19-freimerPromotion,@sec-freimer,"A relaxed, post-hoc Freimer promotion rule nominating novel targets",registered H3: no card (6 of 73 co-tested vs a pre-declared gate of 10),"2 candidates, ATXN7L3 and XBP1. Both FAIL review.",descriptive,gene,"n/a (a filter, not a test)",n/a,73 eligible genes of the frozen 91-gene pool; 6 co-tested,none,scripts/34_freimer_secondary_posthoc.py,"POST-HOC rule relaxation, directed after the registered coverage gate fired. Recorded as a deviation in addendum 2, not as the registered analysis.","Exploratory addendum; does NOT govern the headline. ATXN7L3 sits at the 96.2nd percentile of resting-arm disruption with a stimulated-over-resting DE ratio of 0.92 against a pre-specified 10x criterion, and is in the SAGA deubiquitinase module with USP22, a contaminant this report already names. XBP1 is the 92.1st percentile. Neither has genetic support, a pocket, or clinical precedent. Verdict: candidates produced, all fail review."
C16-axesNotOrthogonal,@sec-induction,Are the efficacy and co-inhibitory axes independent?,"implied yes, by quoting rho(z_L2, co-inhibitory loss) = 0.07",No. The two axes are correlated; see the recomputed value in window_score.csv,current,perturbation,n/a (a descriptive correlation),n/a,"6,371 rankable; 286 evidence-passers",none,scripts/04_window_score.py (columns); reported in @sec-induction,Quoting only the correlation with panel-wide magnitude invited the reading that the axes are orthogonal. They are not. Raised by an external audit.,"The axes share ~20% of rank variance among evidence-passers. C5 is the control that separates them, and it does so by holding the perturbation set fixed and varying the module."
